id,agent,knowledge,tags,step
49,code_act,Investigate src/gkvp_fld.f90. This file is about the field solver.,"[""code_act"", ""inspect"", ""src""]",
50,code_act,Investigate src/gkvp_freq.f90. This file is about linear growth rates and real frequencies without shear flows.,"[""code_act"", ""inspect"", ""src""]",
51,code_act,Investigate src/gkvp_geom.f90. This file is about geometric constants.,"[""code_act"", ""inspect"", ""src""]",
52,code_act,Investigate src/gkvp_header.f90. This file is about common headers and shared parameters for the fluxtube code.,"[""code_act"", ""inspect"", ""src""]",
53,code_act,Investigate src/gkvp_igs.f90. This file is about magnetic field components and metric coefficients from MEUDAS or G-EQDSK using IGS.,"[""code_act"", ""inspect"", ""src""]",
54,code_act,Investigate src/gkvp_intgrl.f90. This file is about flux-surface/field-line averages and velocity-space integrals.,"[""code_act"", ""inspect"", ""src""]",
55,code_act,Investigate src/gkvp_main.f90. This file is about the main program entry for GKV+.,"[""code_act"", ""inspect"", ""src""]",
56,code_act,Investigate src/gkvp_mpienv.f90. This file is about MPI environment headers and settings.,"[""code_act"", ""inspect"", ""src""]",
57,code_act,Investigate src/gkvp_out.f90. This file is about data writing outputs.,"[""code_act"", ""inspect"", ""src""]",
58,code_act,Investigate src/gkvp_ring.f90. This file is about ring-geometry helpers and elliptic integral utilities.,"[""code_act"", ""inspect"", ""src""]",
59,code_act,Investigate src/gkvp_set.f90. This file is about reading namelist parameters and setting I/O.,"[""code_act"", ""inspect"", ""src""]",
60,code_act,Investigate src/gkvp_shearflow.f90. This file is about the shearflow convection term.,"[""code_act"", ""inspect"", ""src""]",
61,code_act,Investigate src/gkvp_tips.f90. This file is about shared utility helpers and tips.,"[""code_act"", ""inspect"", ""src""]",
62,code_act,Investigate src/gkvp_trans.f90. This file is about entropy transfer diagnostics.,"[""code_act"", ""inspect"", ""src""]",
63,code_act,Investigate src/gkvp_vmecbzx.f90. This file is about VMEC-based magnetic geometry using the BZX code.,"[""code_act"", ""inspect"", ""src""]",
64,code_act,Investigate src/gkvp_vmecin.f90. This file is about VMEC-based magnetic field and metric coefficients.,"[""code_act"", ""inspect"", ""src""]",
65,code_act,Investigate src/gkvp_zfilter.f90. This file is about filtering in z to reduce high-kz oscillations.,"[""code_act"", ""inspect"", ""src""]",
66,code_act,"Investigate run/Makefile. This file is about build configuration, compiler flags, and library selection.","[""code_act"", ""inspect"", ""run""]",
67,code_act,Investigate run/gkvp_namelist. This file is about runtime parameters and namelist settings.,"[""code_act"", ""inspect"", ""run""]",
68,code_act,Investigate run/shoot. This file is about batch job submission scripting for multi-run sweeps.,"[""code_act"", ""inspect"", ""run""]",
69,code_act,Investigate run/sub.q. This file is about HPC queue submission settings and environment setup.,"[""code_act"", ""inspect"", ""run""]",
70,code_act,Investigate lib/gkvp_math_MATRIX.f90. This file is about mathematical functions using the MATRIX/MPP library.,"[""code_act"", ""inspect"", ""lib""]",
71,code_act,Investigate lib/gkvp_math_MKLNAG.f90. This file is about mathematical functions using MKL/NAG-style libraries.,"[""code_act"", ""inspect"", ""lib""]",
72,code_act,Investigate lib/gkvp_math_SSL2.f90. This file is about mathematical functions using the SSL2 library.,"[""code_act"", ""inspect"", ""lib""]",
73,code_act,Investigate lib/gkvp_math_portable.f90. This file is about portable mathematical helper functions.,"[""code_act"", ""inspect"", ""lib""]",
74,answer,"From the agent output obtained in previous steps, give a clear final answer.","[""answer"", ""clarity""]",
